u,v,key,osmid,oneway,lanes,name,highway,maxspeed,width,length,geometry,est_width,access,bridge,service,ref,junction
186908076,5006201790,0,733008262,False,2,Jalan Patra Kuningan 7,tertiary,15,7,91.46,"LINESTRING (106.8344245 -6.2351558, 106.8337398 -6.234694)",,,,,,
186908079,314924750,0,28224682,False,2,Jalan Patra Kuningan 7,tertiary,15,7,60.48,"LINESTRING (106.8349952 -6.2355069, 106.8355422 -6.2354944)",,,,,,
186908079,186908076,0,733008262,False,2,Jalan Patra Kuningan 7,tertiary,15,7,74.187,"LINESTRING (106.8349952 -6.2355069, 106.8344245 -6.2351558)",,,,,,
186908079,310002720,0,835166780,False,2,Jalan Patra Kuningan 7,residential,15,7,62.578,"LINESTRING (106.8349952 -6.2355069, 106.8344307 -6.2355495)",,,,,,
191430967,186860010,0,650411432,True,2,Sudirman Central Business District Northway,secondary,30,,41.556,"LINESTRING (106.8095146 -6.2296994, 106.8093346 -6.2293713)",6.82,,,,,
191430980,7105418026,0,18565468,True,2,Sudirman Central Business District Northway,secondary,30,,9.824,"LINESTRING (106.8096481 -6.2300083, 106.8096265 -6.2299226)",7.87,,,,,
191431032,3658111449,0,650411434,True,2,Sudirman Central Business District Northway,secondary,30,,7.88,"LINESTRING (106.8096476 -6.2311913, 106.8096714 -6.2311245)",8.58,,,,,
191431052,5388607105,0,650411434,True,2,Sudirman Central Business District Northway,secondary,30,,7.069,"LINESTRING (106.8095505 -6.231264, 106.8096051 -6.2312309)",8.58,,,,,
191431094,191431052,0,650411434,True,2,Sudirman Central Business District Northway,secondary,30,,19.692,"LINESTRING (106.8093837 -6.2313262, 106.8095505 -6.231264)",8.58,,,,,
237768510,4503864475,0,650411428,True,3,Sudirman Central Business District Northway,secondary,30,8,3.712,"LINESTRING (106.8089394 -6.2271601, 106.8089417 -6.2271268)",,,,,,
260933023,7086167122,0,24055277,False,,Summagung 1,residential,30,,6.181,"LINESTRING (106.8990957 -6.1724997, 106.8991419 -6.172531)",,,,,,
260933023,1417312819,0,24055277,False,,Summagung 1,residential,30,,53.716,"LINESTRING (106.8990957 -6.1724997, 106.8986783 -6.1722524)",,,,,,
260933024,387395838,0,24055277,False,,Summagung 1,residential,30,,48.157,"LINESTRING (106.9010854 -6.1736939, 106.9007143 -6.1734671)",,,,,,
260933380,1417312819,0,24055277,False,,Summagung 1,residential,30,,50.252,"LINESTRING (106.8982985 -6.1720041, 106.8986783 -6.1722524)",,,,,,
260934126,7055029536,0,490661176,False,2,Gading Park View,residential,20,,39.09,"LINESTRING (106.9128288 -6.1652094, 106.9126528 -6.1655143)",,,,,,
302230535,1356045925,0,575402742,False,,Jalan Botani,residential,10,4,14.791,"LINESTRING (106.9223541 -6.2309491, 106.9222872 -6.2310643)",,,,,,
305174770,6380969120,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,2.319,"LINESTRING (106.7801407 -6.2659608, 106.7801243 -6.2659738)",,,,,,
305174770,6380969119,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,2.53,"LINESTRING (106.7801407 -6.2659608, 106.7801585 -6.2659465)",,,,,,
305176942,7537136115,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,55.353,"LINESTRING (106.7787565 -6.2697375, 106.7787248 -6.2702343)",,,,,,
305176942,307290628,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,137.667,"LINESTRING (106.7787565 -6.2697375, 106.7788367 -6.268502)",,,,,,
305182956,307290626,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,45.554,"LINESTRING (106.7786487 -6.2728742, 106.7786406 -6.2732838)",,,,,,
305182956,5647027166,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,8.032,"LINESTRING (106.7786487 -6.2728742, 106.7786466 -6.272802)",,,,,,
305183619,6375910614,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,90.577,"LINESTRING (106.7786998 -6.2710177, 106.7786618 -6.2718314)",,,,,,
305183619,7537136115,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,87.154,"LINESTRING (106.7786998 -6.2710177, 106.7787248 -6.2702343)",,,,,,
307239799,307290623,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,12.403,"LINESTRING (106.7785235 -6.2744539, 106.7784892 -6.2745601)",,,,,,
307239799,6375910616,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,24.565,"LINESTRING (106.7785235 -6.2744539, 106.7785746 -6.2742389)",,,,,,
307290618,6375910620,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,25.545,"LINESTRING (106.7774146 -6.2760646, 106.7772268 -6.2761985)",,,,,,
307290618,7537136120,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,12.861,"LINESTRING (106.7774146 -6.2760646, 106.7775017 -6.2759879)",,,,,,
307290620,6375910619,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,35.556,"LINESTRING (106.7778368 -6.2756489, 106.777613 -6.2758786)",,,,,,
307290620,307301150,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,9.238,"LINESTRING (106.7778368 -6.2756489, 106.7778921 -6.2755866)",,,,,,
307290622,6375910618,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,35.712,"LINESTRING (106.7782976 -6.2750304, 106.77812 -6.2752987)",,,,,,
307290622,6375910617,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,24.636,"LINESTRING (106.7782976 -6.2750304, 106.7783855 -6.2748268)",,,,,,
307290623,6375910617,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,31.794,"LINESTRING (106.7784892 -6.2745601, 106.7783855 -6.2748268)",,,,,,
307290623,307239799,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,12.403,"LINESTRING (106.7784892 -6.2745601, 106.7785235 -6.2744539)",,,,,,
307290625,6375910615,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,22.013,"LINESTRING (106.7786122 -6.2738293, 106.7786001 -6.2740269)",,,,,,
307290625,307290626,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,60.738,"LINESTRING (106.7786122 -6.2738293, 106.7786406 -6.2732838)",,,,,,
307290626,307290625,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,60.738,"LINESTRING (106.7786406 -6.2732838, 106.7786122 -6.2738293)",,,,,,
307290626,305182956,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,45.554,"LINESTRING (106.7786406 -6.2732838, 106.7786487 -6.2728742)",,,,,,
307290628,305176942,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,137.667,"LINESTRING (106.7788367 -6.268502, 106.7787565 -6.2697375)",,,,,,
307290628,307290631,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,60.216,"LINESTRING (106.7788367 -6.268502, 106.7788872 -6.2679628)",,,,,,
307290631,307290628,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,60.216,"LINESTRING (106.7788872 -6.2679628, 106.7788367 -6.268502)",,,,,,
307290631,7559717998,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,18.603,"LINESTRING (106.7788872 -6.2679628, 106.7789125 -6.2677974)",,,,,,
307290632,7559717998,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,20.812,"LINESTRING (106.7789623 -6.2676169, 106.7789125 -6.2677974)",,,,,,
307290632,307290633,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,63.763,"LINESTRING (106.7789623 -6.2676169, 106.7791982 -6.2670936)",,,,,,
307290633,307290632,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,63.763,"LINESTRING (106.7791982 -6.2670936, 106.7789623 -6.2676169)",,,,,,
307290633,307290634,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,45.269,"LINESTRING (106.7791982 -6.2670936, 106.7793994 -6.266739)",,,,,,
307290634,307290633,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,45.269,"LINESTRING (106.7793994 -6.266739, 106.7791982 -6.2670936)",,,,,,
307290634,307290635,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,19.577,"LINESTRING (106.7793994 -6.266739, 106.7795013 -6.266595)",,,,,,
307290635,307290634,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,19.577,"LINESTRING (106.7795013 -6.266595, 106.7793994 -6.266739)",,,,,,
307290635,307290636,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,35.378,"LINESTRING (106.7795013 -6.266595, 106.7797145 -6.2663577)",,,,,,
307290636,307290635,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,35.378,"LINESTRING (106.7797145 -6.2663577, 106.7795013 -6.266595)",,,,,,
307290636,307290637,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,38.968,"LINESTRING (106.7797145 -6.2663577, 106.7799644 -6.2661105)",,,,,,
307290637,307290636,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,38.968,"LINESTRING (106.7799644 -6.2661105, 106.7797145 -6.2663577)",,,,,,
307290637,6059148549,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,14.804,"LINESTRING (106.7799644 -6.2661105, 106.7800641 -6.2660216)",,,,,,
307290638,6380969119,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,12.614,"LINESTRING (106.7802503 -6.2658791, 106.7801585 -6.2659465)",,,,,,
307290638,5641295252,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,10.474,"LINESTRING (106.7802503 -6.2658791, 106.7803273 -6.2658242)",,,,,,
307291273,6375910612,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,12.953,"LINESTRING (106.7808206 -6.2655423, 106.7807136 -6.2655898)",,,,,,
307291273,307291275,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,76.806,"LINESTRING (106.7808206 -6.2655423, 106.7814647 -6.2652831)",,,,,,
307291275,307291273,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,76.806,"LINESTRING (106.7814647 -6.2652831, 106.7808206 -6.2655423)",,,,,,
307301150,307290620,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,9.238,"LINESTRING (106.7778921 -6.2755866, 106.7778368 -6.2756489)",,,,,,
307301150,6375910618,0,311490299,False,1,Jalan Kartika Utama,secondary,30,8,40.735,"LINESTRING (106.7778921 -6.2755866, 106.77812 -6.2752987)",,,,,,
308980122,2397990624,0,28131975,True,1,Epicentrum Utama Raya,secondary,20,,20.294,"LINESTRING (106.8333901 -6.219929, 106.8335646 -6.2198723)",6.76,,,,,
308980477,7115597222,0,31502550,True,1,Taman Rasuna Selatan,service,30,,12.027,"LINESTRING (106.8355291 -6.2190882, 106.8356279 -6.2191335)",,yes,,,,
308980478,1912509490,0,535484211,True,1,Taman Rasuna Selatan,service,30,,11.644,"LINESTRING (106.8373267 -6.2188803, 106.8374304 -6.2188619)",,yes,,,,
308980479,7248988687,0,535484211,True,1,Taman Rasuna Selatan,service,30,,2.77,"LINESTRING (106.837638 -6.2188106, 106.8376577 -6.2187952)",,yes,,,,
308980524,7029068070,0,685381709,True,,Taman Rasuna Utara,service,30,,71.38,"LINESTRING (106.8369784 -6.21594, 106.8363542 -6.2161044)",,yes,,,,
309142857,5205817245,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,30.411,"LINESTRING (106.8357155 -6.2201486, 106.8355474 -6.2199321)",,,,,,
309142857,6325424910,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,4.743,"LINESTRING (106.8357155 -6.2201486, 106.8357372 -6.2201854)",,,,,,
309142858,5388495628,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,50.37,"LINESTRING (106.8359365 -6.221201, 106.8358585 -6.2207547)",,,,,,
309142858,2363770883,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,73.108,"LINESTRING (106.8359365 -6.221201, 106.8360632 -6.2218463)",,,,,,
309142859,6325424904,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,9.028,"LINESTRING (106.8360534 -6.222127, 106.8360718 -6.2220479)",,,,,,
309142859,309142860,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,58.183,"LINESTRING (106.8360534 -6.222127, 106.8359397 -6.2226379)",,,,,,
309142860,309142859,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,58.183,"LINESTRING (106.8359397 -6.2226379, 106.8360534 -6.222127)",,,,,,
309142860,6325424893,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,16.088,"LINESTRING (106.8359397 -6.2226379, 106.8359189 -6.2227811)",,,,,,
309142861,6325424893,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,15.08,"LINESTRING (106.8359049 -6.222916, 106.8359189 -6.2227811)",,,,,,
309142861,6325424894,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,28.46,"LINESTRING (106.8359049 -6.222916, 106.8358666 -6.2231691)",,,,,,
309142862,5205817247,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,11.42,"LINESTRING (106.8358 -6.2236, 106.8358231 -6.2234999)",,,,,,
309142862,6325424895,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,7.494,"LINESTRING (106.8358 -6.2236, 106.8357821 -6.223665)",,,,,,
309142863,6325424898,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,24.636,"LINESTRING (106.8355637 -6.2241954, 106.835648 -6.2239903)",,,,,,
309142863,6325424897,0,28146260,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,7.217,"LINESTRING (106.8355637 -6.2241954, 106.8355393 -6.2242556)",,,,,,
309142864,6325424902,0,749983748,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,18.331,"LINESTRING (106.835568 -6.2248337, 106.835546 -6.2246703)",,,,,,
309142864,7117826726,0,749983748,False,4,Jalan Achmad Bakrie Timur,tertiary,20,10,26.221,"LINESTRING (106.835568 -6.2248337, 106.8355997 -6.2250674)",,,,,,
309475947,7713048800,0,352618549,True,1,Jalan Dukuh VI,residential,20,4,12.486,"LINESTRING (106.8780309 -6.2902028, 106.8780403 -6.2900909)",,,,,,
309655710,191430967,0,650411432,True,2,Sudirman Central Business District Northway,secondary,30,,19.592,"LINESTRING (106.8096018 -6.2298528, 106.8095146 -6.2296994)",6.82,,,,,
309655793,6687903491,0,18565468,True,2,Sudirman Central Business District Northway,secondary,30,,8.262,"LINESTRING (106.8097209 -6.2308511, 106.8097212 -6.2307768)",7.87,,,,,
309676098,4101446719,0,814046649,True,2,Jalan Sidoarjo,residential,5,4,44.367,"LINESTRING (106.8301724 -6.1972249, 106.8297742 -6.197175)",,,,,,
309915001,2111333066,0,659449460,True,3,Jalan Medan Merdeka Selatan,primary,30,8,42.033,"LINESTRING (106.8233485 -6.1804443, 106.8237287 -6.1804403)",,,,,,
310002714,6325087952,0,28224682,False,2,Jalan Patra Kuningan 7,tertiary,15,7,14.749,"LINESTRING (106.8360567 -6.2355698, 106.8359256 -6.2355451)",,,,,,
310002714,6325087950,0,28224682,False,2,Jalan Patra Kuningan 7,tertiary,15,7,18.497,"LINESTRING (106.8360567 -6.2355698, 106.836222 -6.2355957)",,,,,,
310002720,186908079,0,835166780,False,2,Jalan Patra Kuningan 7,residential,15,7,62.578,"LINESTRING (106.8344307 -6.2355495, 106.8349952 -6.2355069)",,,,,,
311714773,311715590,0,651891532,False,2,Jalan Senayan,residential,30,4,73.445,"LINESTRING (106.8155791 -6.2350741, 106.8158441 -6.2356798)",,,,,,
311715590,311714773,0,651891532,False,2,Jalan Senayan,residential,30,4,73.445,"LINESTRING (106.8158441 -6.2356798, 106.8155791 -6.2350741)",,,,,,
314924750,186908079,0,28224682,False,2,Jalan Patra Kuningan 7,tertiary,15,7,60.48,"LINESTRING (106.8355422 -6.2354944, 106.8349952 -6.2355069)",,,,,,
314924750,6325087951,0,28224682,False,2,Jalan Patra Kuningan 7,tertiary,15,7,13.67,"LINESTRING (106.8355422 -6.2354944, 106.8356654 -6.2355051)",,,,,,
315229477,309676097,0,28193186,True,2,Jalan Sidoarjo,residential,5,4,105.07,"LINESTRING (106.829609 -6.1971598, 106.8286692 -6.1970186)",,,,,,
317180427,7117826726,0,761818554,False,3,Jalan Achmad Bakrie Timur,tertiary,20,10,43.186,"LINESTRING (106.8356519 -6.2254523, 106.8355997 -6.2250674)",,,,,,
317195853,7231807677,0,304482444,False,1,Jalan Buluh Perindu V,residential,20,4,1.287,"LINESTRING (106.9087502 -6.2308953, 106.9087553 -6.2308849)",,,,,,
318096722,4883234742,0,28934535,False,1,Jalan Tanah Abang V,residential,20,3,80.457,"LINESTRING (106.8131348 -6.179607, 106.8138609 -6.1795577)",,,,,,
318567001,4999052682,0,506371164,False,1,Jalan Tamansari I C,living_street,10,1.5,50.495,"LINESTRING (106.8272406 -6.1600115, 106.8267843 -6.1600317)",,,,,,
318567004,4999052687,0,506371160,False,1,Jalan Tamansari II,living_street,10,1.5,7.165,"LINESTRING (106.8272747 -6.1596815, 106.8272101 -6.1596867)",,,,,,
320021670,320021669,0,486422352,True,1,Jalan Tebet Dalam I,tertiary,30,4,122.291,"LINESTRING (106.8496442 -6.2241727, 106.8507488 -6.2241116)",,,,,,
320021671,4790414952,0,486422352,True,1,Jalan Tebet Dalam I,tertiary,30,4,45.242,"LINESTRING (106.8483493 -6.2242325, 106.8487584 -6.2242204)",,,,,,
320846434,1717478156,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,31.356,"LINESTRING (106.8430819 -6.2145601, 106.8429079 -6.2147828)",,,,,,
320846615,352475499,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,21.101,"LINESTRING (106.8411816 -6.2180258, 106.8411656 -6.2178367)",,,,,,
320846618,4807032168,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,38.897,"LINESTRING (106.8411881 -6.2176435, 106.8412745 -6.2173044)",,,,,,
320846618,6858755719,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,12.022,"LINESTRING (106.8411881 -6.2176435, 106.8411756 -6.2177509)",,,,,,
320846620,1717505157,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,42.61,"LINESTRING (106.8414321 -6.2169576, 106.8416216 -6.2166239)",,,,,,
320846620,4807032168,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,42.315,"LINESTRING (106.8414321 -6.2169576, 106.8412745 -6.2173044)",,,,,,
320846622,4785407444,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,20.57,"LINESTRING (106.8419538 -6.2160551, 106.8420645 -6.2159064)",,,,,,
320846622,5662539403,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,11.389,"LINESTRING (106.8419538 -6.2160551, 106.8419021 -6.2161437)",,,,,,
320846624,1718682905,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,35.693,"LINESTRING (106.8425452 -6.2152418, 106.8427369 -6.2149835)",,,,,,
320846624,4785471052,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,4.465,"LINESTRING (106.8425452 -6.2152418, 106.8425145 -6.2152679)",,,,,,
320927493,1717474120,0,159631702,False,2,Jalan Subur Raya,residential,30,,22.416,"LINESTRING (106.8441398 -6.2189402, 106.8443421 -6.2189263)",,yes,,,,
320927493,7229261568,0,159631702,False,2,Jalan Subur Raya,residential,30,,92.451,"LINESTRING (106.8441398 -6.2189402, 106.8433057 -6.2190012)",,yes,,,,
320927510,7101302828,0,486037014,False,2,Jalan Lontar,residential,20,,9.059,"LINESTRING (106.8448533 -6.2180036, 106.8447782 -6.2180362)",,yes,,,,
320927511,4787818803,0,486037007,False,2,Jalan Lontar,residential,20,3,22.709,"LINESTRING (106.8445998 -6.2180796, 106.8443953 -6.2180991)",,yes,yes,,,
320927511,7101302828,0,760167928,False,2,Jalan Lontar,residential,20,,20.302,"LINESTRING (106.8445998 -6.2180796, 106.8447782 -6.2180362)",,yes,,,,
326700145,1872184592,0,29687659,False,1,Jalan Sawo Kecik II,residential,30,4,42.71,"LINESTRING (106.9438909 -6.2077198, 106.9438899 -6.2073357)",,,,,,
326700145,326700344,0,723292203,False,1,Jalan Sawo Kecik II,residential,30,4,44.503,"LINESTRING (106.9438909 -6.2077198, 106.9438808 -6.2081199)",,,,,,
326700344,326700360,0,723292203,False,1,Jalan Sawo Kecik II,residential,30,4,42.668,"LINESTRING (106.9438808 -6.2081199, 106.9438711 -6.2085035)",,,,,,
326700344,326700145,0,723292203,False,1,Jalan Sawo Kecik II,residential,30,4,44.503,"LINESTRING (106.9438808 -6.2081199, 106.9438909 -6.2077198)",,,,,,
326700360,326700344,0,723292203,False,1,Jalan Sawo Kecik II,residential,30,4,42.668,"LINESTRING (106.9438711 -6.2085035, 106.9438808 -6.2081199)",,,,,,
328568019,6333093708,0,29814916,False,2,Jalan Rawasari Barat V,residential,10,3,7.74,"LINESTRING (106.8707487 -6.1841741, 106.8708184 -6.1841675)",,,,,,
328918979,7645815425,0,815137939,False,,Jalan Rawa Tengah,living_street,10,3,5.593,"LINESTRING (106.858379 -6.1764712, 106.8583287 -6.1764766)",,,,,,
328966636,3774518292,0,815137939,False,,Jalan Rawa Tengah,living_street,10,3,21.551,"LINESTRING (106.8572483 -6.1765997, 106.8574412 -6.1765717)",,,,,,
329967944,4490127335,0,452223796,False,1,,living_street,20,1,59.45,"LINESTRING (106.8582167 -6.2012147, 106.858718 -6.2010211)",,,,,,
330161044,330161050,0,29991552,False,2,Jalan Sunan Geseng,residential,20,4,102.17,"LINESTRING (106.8845364 -6.1955025, 106.8854606 -6.1955099)",,,,,,
330161045,330161051,0,29991553,False,1,Jalan Sunan Kanoman,residential,20,5,101.185,"LINESTRING (106.8845453 -6.1958347, 106.8854606 -6.1958277)",,,,,,
330161050,330161044,0,29991552,False,2,Jalan Sunan Geseng,residential,20,4,102.17,"LINESTRING (106.8854606 -6.1955099, 106.8845364 -6.1955025)",,,,,,
330161051,330161045,0,29991553,False,1,Jalan Sunan Kanoman,residential,20,5,101.185,"LINESTRING (106.8854606 -6.1958277, 106.8845453 -6.1958347)",,,,,,
330562869,5127643739,0,527424009,False,1,,living_street,5,1.5,10.08,"LINESTRING (106.9264112 -6.1346957, 106.9265019 -6.1347049)",,,,,,
331674450,5461466495,0,561416582,False,,,service,10,,50.014,"LINESTRING (106.7750776 -6.1438056, 106.7746313 -6.1437321)",,,,,,
333833255,6332920421,0,521707246,False,1,Jalan Kemandoran VII,tertiary,30,4,24.277,"LINESTRING (106.7865032 -6.2099682, 106.7864911 -6.2101862)",8.42,,,,,
333833255,4984098529,0,521707246,False,1,Jalan Kemandoran VII,tertiary,30,4,12.835,"LINESTRING (106.7865032 -6.2099682, 106.7865086 -6.2098529)",8.42,,,,,
344373730,4910435554,0,499839587,False,1,Jalan Pahlawan,residential,30,3,57.749,"LINESTRING (106.771665 -6.2238787, 106.7711428 -6.2238941)",,,,,,
344373733,4910435268,0,30968280,False,1,Jalan Haji Tohir,tertiary,30,3,61.045,"LINESTRING (106.7680256 -6.2239554, 106.7680077 -6.2245041)",,,,,,
344373733,5488012297,0,499839503,False,1,Jalan Pahlawan,residential,30,3,90.425,"LINESTRING (106.7680256 -6.2239554, 106.7688435 -6.2239408)",,,,,,
344373738,7226763276,0,30968280,False,1,Jalan Haji Tohir,tertiary,30,3,6.765,"LINESTRING (106.7717289 -6.2250702, 106.7716686 -6.2250806)",,,,,,
344373739,4910435454,0,30968280,False,1,Jalan Haji Tohir,tertiary,30,3,29.935,"LINESTRING (106.7694611 -6.2251822, 106.7691909 -6.2252002)",,,,,,
344373739,7226763280,0,30968280,False,1,Jalan Haji Tohir,tertiary,30,3,29.512,"LINESTRING (106.7694611 -6.2251822, 106.7697273 -6.2251619)",,,,,,
344373740,2307602991,0,30968280,False,1,Jalan Haji Tohir,tertiary,30,3,17.359,"LINESTRING (106.7681019 -6.2251929, 106.7680959 -6.2250369)",,,,,,
344373740,4910435274,0,30968280,False,1,Jalan Haji Tohir,tertiary,30,3,72.895,"LINESTRING (106.7681019 -6.2251929, 106.7687611 -6.2252109)",,,,,,
350778084,4999052698,0,506371160,False,1,Jalan Tamansari II,living_street,10,1.5,18.934,"LINESTRING (106.82532 -6.1599862, 106.8254875 -6.1599507)",,,,,,
350778084,4961269472,0,506371160,False,1,Jalan Tamansari II,living_street,10,1.5,54.412,"LINESTRING (106.82532 -6.1599862, 106.8248361 -6.1600756)",,,,,,
350995162,4999052669,0,31446026,False,1,Jalan Tamansari III,living_street,10,1.5,30.211,"LINESTRING (106.8272725 -6.159314, 106.8270003 -6.159338)",,,,,,
350995194,4961524325,0,31446027,False,1,Jalan Tamansari I B,living_street,10,1.5,14.425,"LINESTRING (106.8258398 -6.160595, 106.8259618 -6.160549)",,,,,,
350995239,4961524562,0,31446028,False,1,Jalan Tamansari I A,living_street,10,1.5,16.044,"LINESTRING (106.8262488 -6.1608282, 106.8263891 -6.1607913)",,,,,,
352475499,6858755719,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,9.604,"LINESTRING (106.8411656 -6.2178367, 106.8411756 -6.2177509)",,,,,,
352475499,320846615,0,29172929,False,1,Jalan Minangkabau Dalam,residential,30,3,21.101,"LINESTRING (106.8411656 -6.2178367, 106.8411816 -6.2180258)",,,,,,
352490730,4840935103,0,31502906,False,1,Jalan Lontar VII,residential,20,3,8.117,"LINESTRING (106.8417832 -6.2191143, 106.8417947 -6.2190422)",,yes,,,,
352490730,6478401384,0,31502906,False,1,Jalan Lontar VII,residential,20,3,39.072,"LINESTRING (106.8417832 -6.2191143, 106.841753 -6.2194644)",,yes,,,,
