u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,lanes,width,bridge,access,est_width,tunnel,service,ref,junction
42429374,42430277,0,"[496979224, 196117090, 630828586, 496978510]",True,6th Avenue,secondary,1033.6080000000002,"LINESTRING (-73.99734100000001 40.736668, -73.99685359999999 40.7373421, -73.99684000000001 40.737361, -73.9968326 40.7373712, -73.9964183 40.7379336, -73.996337 40.738044, -73.995874 40.738686, -73.995446 40.739272, -73.995018 40.73986, -73.99459299999999 40.740442, -73.9942028 40.7409812, -73.9941671 40.7410305, -73.994114 40.7411034, -73.99378040000001 40.7415616, -73.9937398 40.7416174, -73.9936939 40.7416804, -73.99329160000001 40.7422328, -73.992805 40.742901, -73.9923179 40.7435682, -73.991871 40.744186, -73.99141520000001 40.7448072)",25 mph,,,,,,,,,
42429375,42439073,0,196117091,True,7th Avenue,secondary,80.699,"LINESTRING (-74.0001742 40.7378614, -74.0006278 40.7372222)",25 mph,,,,,,,,,
42429375,6213315378,0,"[663810755, 46609036, 5669806]",True,"['West 13th Street', 'Greenwich Avenue']","['cycleway', 'residential', 'secondary']",303.84700000000004,"LINESTRING (-74.0001742 40.7378614, -74.0021545 40.7386731, -74.0022742 40.7387178, -74.0024001 40.7387436, -74.0024658 40.7388533, -74.0027163 40.7392716, -74.00277749999999 40.739375, -74.0028363 40.7395009)",25 mph,1,,,,,,,,
42429552,42432352,0,"[22898583, 587061847]",True,5th Avenue,secondary,778.7270000000001,"LINESTRING (-73.944597 40.803228, -73.945052 40.802599, -73.945508 40.801971, -73.94596799999999 40.801342, -73.946462 40.800665, -73.946974 40.799961, -73.9470354 40.7998769, -73.9478173 40.7988271, -73.94825710000001 40.7982263, -73.9483242 40.7981332, -73.9483802 40.7980571, -73.9487589 40.797543, -73.94880259999999 40.7974838, -73.9488396 40.7974325, -73.9490443 40.7971474, -73.9490776 40.797101)",,,,,,,,,,
42430249,42429374,0,497746843,True,6th Avenue,secondary,80.807,"LINESTRING (-73.997805 40.736032, -73.9976142 40.7362935, -73.99734100000001 40.736668)",25 mph,,,,,,,,,
42430249,42439070,0,646635889,True,West 12th Street,residential,310.60400000000004,"LINESTRING (-73.997805 40.736032, -73.9950217 40.7348564, -73.994585 40.734672)",25 mph,,,,,,,,,
42430277,42427797,0,489019752,True,6th Avenue,secondary,235.157,"LINESTRING (-73.99141520000001 40.7448072, -73.990968 40.745421, -73.9906568 40.7458465, -73.99051799999999 40.746038, -73.9903802 40.7462278, -73.990067 40.746659)",25 mph,,,,,,,,,
42430277,42428216,0,630828585,True,West 26th Street,residential,229.89600000000002,"LINESTRING (-73.99141520000001 40.7448072, -73.9908447 40.7445673, -73.9907355 40.7445213, -73.9891066 40.7438362, -73.9890293 40.7438037)",25 mph,1,,,,,,,,
42430295,4886228960,0,"[460606347, 439933932]",True,6th Avenue,secondary,133.933,"LINESTRING (-73.98869999999999 40.7485163, -73.9886545 40.7485752, -73.98829790000001 40.7490662, -73.98825429999999 40.7491303, -73.98820259999999 40.7491988, -73.9879243 40.7495676)",25 mph,,,,,,,,,
42430295,42427787,0,"[46581216, 460606348, 693345069, 788278350]",True,"['Broadway', 'West 32nd Street']","['tertiary', 'residential', 'unclassified']",302.678,"LINESTRING (-73.98869999999999 40.7485163, -73.9885812 40.7484644, -73.9883731 40.7483768, -73.98828210000001 40.7483388, -73.9881883 40.7483016, -73.9882027 40.7482336, -73.9883176 40.747627, -73.98833209999999 40.7475512, -73.9883444 40.7474852, -73.98841779999999 40.7470904, -73.9884704 40.7468077, -73.98861220000001 40.7460455)",25 mph,1,,,,,,,,
42430739,6739255870,0,714993623,True,West 55th Street,unclassified,131.353,"LINESTRING (-73.99234439999999 40.7690142, -73.99279439999999 40.7692044, -73.99363049999999 40.7695578, -73.99370639999999 40.7695899)",,1,,,,,,,,
42430739,42430713,0,"[420894352, 420894338]",True,11th Avenue,secondary,238.195,"LINESTRING (-73.99234439999999 40.7690142, -73.992525 40.7687684, -73.99279540000001 40.7683937, -73.99299999999999 40.7681081, -73.9932635 40.7677405, -73.9934817 40.7674381, -73.99370039999999 40.7671343)",,4,,,,,,,,
42430761,42448563,0,5673342,True,Varick Street,secondary,96.002,"LINESTRING (-74.0051447 40.7294709, -74.0051845 40.7293655, -74.00527169999999 40.7288533, -74.00531119999999 40.7286179)",25 mph,3,,,,,,,,
42430770,42430761,0,420530113,True,7th Avenue South,secondary,102.141,"LINESTRING (-74.004688 40.730321, -74.0051048 40.7295765, -74.0051447 40.7294709)",25 mph,,,,,,,,,
42430770,42436377,0,"[5672912, 5672988]",True,"['Saint Lukes Place', 'Leroy Street']",residential,186.206,"LINESTRING (-74.004688 40.730321, -74.005475 40.730104, -74.0059895 40.7301502, -74.00614880000001 40.7301645, -74.0068382 40.7302239)",20 mph,,,,,,,,,
42430782,42430770,0,420530113,True,7th Avenue South,secondary,48.246,"LINESTRING (-74.00445999999999 40.730719, -74.004688 40.730321)",25 mph,,,,,,,,,
42430782,42431528,0,239988110,True,Bedford Street,residential,34.532,"LINESTRING (-74.00445999999999 40.730719, -74.0046246 40.7310034)",20 mph,,,,,,,,,
42430791,42430782,0,46610727,True,7th Avenue South,secondary,49.671,"LINESTRING (-74.00422570000001 40.7311289, -74.00445999999999 40.730719)",25 mph,,,,,,,,,
42430796,42430791,0,46610727,True,7th Avenue South,secondary,92.522,"LINESTRING (-74.0037892 40.7318924, -74.00422570000001 40.7311289)",25 mph,,,,,,,,,
42430796,42431273,0,5669993,True,Commerce Street,residential,104.223,"LINESTRING (-74.0037892 40.7318924, -74.0049377 40.7315444)",20 mph,,,,,,,,,
42430803,5837088105,0,420598323,True,7th Avenue South,secondary,117.768,"LINESTRING (-74.0030292 40.7332265, -74.0030727 40.73315, -74.00326320000001 40.7328151, -74.0033268 40.7327034, -74.0034387 40.7325066, -74.0035456 40.7323187, -74.0035644 40.7322862, -74.00358249999999 40.7322539)",25 mph,,,,,,,,,
42430805,42430803,0,420598323,True,7th Avenue South,secondary,46.364,"LINESTRING (-74.0028114 40.7336094, -74.0028702 40.733506, -74.00299680000001 40.7332834, -74.0030292 40.7332265)",25 mph,,,,,,,,,
42430805,42431802,0,467222828,True,Christopher Street,residential,123.56599999999999,"LINESTRING (-74.0028114 40.7336094, -74.0029633 40.7335868, -74.00417659999999 40.7334092, -74.0042514 40.7333991)",20 mph,,,,,,,,,
42430811,4320028826,0,5669953,True,7th Avenue South,secondary,73.607,"LINESTRING (-74.00239500000001 40.7343413, -74.00259149999999 40.7339959, -74.0026919 40.7338195, -74.0027408 40.7337334)",25 mph,,,,,,,,,
42430813,42430811,0,5669953,True,7th Avenue South,secondary,90.013,"LINESTRING (-74.00196819999999 40.7350834, -74.00239500000001 40.7343413)",25 mph,,,,,,,,,
42430813,42452598,0,5672073,True,Charles Street,residential,102.064,"LINESTRING (-74.00196819999999 40.7350834, -74.0031527 40.7348912)",20 mph,,,,,,,,,
42430824,42430813,0,5669953,True,7th Avenue South,secondary,86.725,"LINESTRING (-74.0015452 40.7357944, -74.0016967 40.7355352, -74.00180640000001 40.7353477, -74.00196819999999 40.7350834)",25 mph,,,,,,,,,
42430828,42433275,0,5671668,True,West 11th Street,residential,73.734,"LINESTRING (-74.00109500000001 40.736564, -74.0019538 40.7364365)",20 mph,,,,,,,,,
42430828,42430824,0,5669953,True,7th Avenue South,secondary,93.606,"LINESTRING (-74.00109500000001 40.736564, -74.0014929 40.7358838, -74.0015452 40.7357944)",25 mph,,,,,,,,,
42431165,4202984497,0,420358896,True,Lafayette Street,secondary,312.7,"LINESTRING (-73.9936333 40.7272967, -73.993505 40.7274473, -73.99314699999999 40.727867, -73.9925758 40.7285351, -73.99161650000001 40.7296573)",25 mph,,,,,,,,,
42432057,486868873,0,"[221687794, 814840326]",True,Allen Street,primary,281.755,"LINESTRING (-73.9892727 40.7216919, -73.9892962 40.7216452, -73.9898237 40.7205937, -73.98985709999999 40.7205327, -73.9898783 40.7204915, -73.9904224 40.719441, -73.9904311 40.7194242, -73.9904805 40.7193292)",25 mph,,,,,,,,,
42432057,42432060,0,226041018,True,Stanton Street,cycleway,25.222,"LINESTRING (-73.9892727 40.7216919, -73.9890443 40.7216227, -73.9889948 40.7216077)",,,,,,,,,,
42432060,7611187236,0,221687792,True,Allen Street,primary,40.859,"LINESTRING (-73.9889948 40.7216077, -73.98897599999999 40.7216605, -73.98891690000001 40.7218266, -73.9888672 40.7219622)",25 mph,,,,,,,,,
42432218,42437316,0,196117023,False,Edgecombe Avenue,tertiary,107.814,"LINESTRING (-73.9362457 40.8381008, -73.93628150000001 40.8380515, -73.9363073 40.8380177, -73.93638300000001 40.83785, -73.93657589999999 40.8374385, -73.936691 40.837193)",,,,,,,,,,
42433030,42433035,0,541442322,True,Saint Nicholas Avenue,secondary,157.223,"LINESTRING (-73.9398826 40.8395698, -73.9396778 40.8402585, -73.9395162 40.8408687, -73.93948039999999 40.84095)",,,,,,,,,,
42433041,765367023,0,278667972,True,West 170th Street,residential,326.80899999999997,"LINESTRING (-73.93883289999999 40.842261, -73.9375909 40.8417211, -73.937494 40.841679, -73.93740459999999 40.8416413, -73.93616830000001 40.8411219, -73.9360326 40.8410606, -73.93593009999999 40.841015, -73.93554210000001 40.8408519, -73.9354605 40.8408038)",,,,,,,,,,
42433041,42428984,0,440122914,False,West 170th Street,cycleway,44.468,"LINESTRING (-73.93883289999999 40.842261, -73.9388958 40.8422889, -73.9389602 40.8422717, -73.93901510000001 40.8422717, -73.9390701 40.8422869, -73.93912640000001 40.8423113, -73.939255 40.842436)",,,,,,,,,,
42433041,42433043,0,563391425,True,Saint Nicholas Avenue,secondary,79.35700000000001,"LINESTRING (-73.93883289999999 40.842261, -73.93862059999999 40.8425613, -73.9384604 40.8428509, -73.9384302 40.8429055)",,,,,,,,,,
42433551,42440408,0,39662323,False,Clinton Street,residential,189.68400000000003,"LINESTRING (-73.98716949999999 40.714317, -73.9871605 40.7144073, -73.9871555 40.714456, -73.98714769999999 40.7148373, -73.98712399999999 40.715023, -73.9871034 40.7151054, -73.9870854 40.7151883, -73.98707400000001 40.715241, -73.986996 40.715456, -73.986929 40.715603, -73.986835 40.715777, -73.9867914 40.7158578, -73.9867058 40.7159628)",25 mph,,,,,,,,,
42435197,765367023,0,5670333,False,Edgecombe Avenue,residential,38.471,"LINESTRING (-73.93531539999999 40.8404757, -73.9354605 40.8408038)",,,,,,,,,,
42435197,42432218,0,197294051,True,Edgecombe Avenue,residential,303.009,"LINESTRING (-73.93531539999999 40.8404757, -73.93524309999999 40.840321, -73.9351736 40.840177, -73.9351357 40.8400995, -73.9350908 40.8400018, -73.935056 40.8399085, -73.93502719999999 40.8397849, -73.9350134 40.8396932, -73.935012 40.8396147, -73.9350196 40.8395349, -73.9350306 40.8394455, -73.93504780000001 40.8393694, -73.9350752 40.8392882, -73.9351123 40.8392077, -73.9351585 40.8391219, -73.9352073 40.8390475, -73.935282 40.8389514, -73.93534990000001 40.8388822, -73.9354609 40.8387806, -73.9355857 40.8386987, -73.93574599999999 40.8385849, -73.93595139999999 40.8384189, -73.93613019999999 40.8382318, -73.93616660000001 40.8381932, -73.9362457 40.8381008)",,,,,,,,,,
42435359,42421769,0,"[195743159, 420623117, 420625559, 420625560, 420625561, 420625562, 420625563, 421853622, 421853623, 421853624, 234053944, 421853626, 421853627, 421853625, 421853628, 421853630, 5671103, 421853632, 421853634, 421853635, 421853636, 421853637, 421853638, 421853639, 421853640, 421853641, 226015229, 196116990]",True,Columbus Avenue,primary,2432.099,"LINESTRING (-73.96105679999999 40.8017903, -73.9611185 40.8016987, -73.96148549999999 40.8011882, -73.96177470000001 40.8007838, -73.96194490000001 40.8005508, -73.9624001 40.7999229, -73.9626751 40.7995453, -73.962886 40.7992545, -73.9633805 40.7985719, -73.9636715 40.798173, -73.9638534 40.7979245, -73.9643061 40.797307, -73.9643233 40.7972848, -73.9646676 40.7967928, -73.96472230000001 40.7967148, -73.9647894 40.7966237, -73.9651564 40.7961253, -73.96519619999999 40.7960713, -73.96540760000001 40.795778, -73.9654489 40.7957208, -73.96548559999999 40.795673, -73.9656255 40.795486, -73.9661048 40.794818, -73.96618669999999 40.79471, -73.9664401 40.7943702, -73.966593 40.7941635, -73.96664869999999 40.7940882, -73.9670457 40.7935615, -73.9671001 40.793489, -73.96733469999999 40.7931765, -73.9674795 40.7929699, -73.9675494 40.7928702, -73.9679993 40.7922531, -73.96804299999999 40.7921931, -73.9680783 40.7921448, -73.9683399 40.7917859, -73.9684669 40.7916117, -73.9684951 40.791573, -73.9685267 40.791531, -73.9689192 40.7910087, -73.96896750000001 40.7909444, -73.9690049 40.7908908, -73.9692519 40.7905364, -73.96936789999999 40.7903712, -73.9694081 40.7903169, -73.9694507 40.7902591, -73.9698298 40.7897456, -73.96987470000001 40.7896847, -73.97015089999999 40.7893015, -73.97029240000001 40.7891176, -73.970333 40.7890648, -73.97074019999999 40.7884968, -73.97078620000001 40.7884325, -73.9710455 40.7880708, -73.97119410000001 40.7878588, -73.9712361 40.7877988, -73.9717021 40.7871708, -73.9719492 40.7868277, -73.9721145 40.7865891, -73.97218359999999 40.7864893, -73.9726529 40.785877, -73.97269919999999 40.7858165, -73.97297140000001 40.7854215, -73.9731062 40.7852402, -73.9731496 40.7851818, -73.9735658 40.7846096, -73.9736127 40.7845451, -73.9738998 40.7841504, -73.97403300000001 40.7839707, -73.97408160000001 40.7839051, -73.9743206 40.7835691, -73.9744895 40.7833425, -73.9745526 40.783251, -73.9746016 40.7831915, -73.97500669999999 40.7826383)",25 mph,4,,,,,,,,
42435420,42427805,0,420512231,True,7th Avenue,secondary,77.965,"LINESTRING (-73.992463 40.748469, -73.9929106 40.7478553)",25 mph,,,,,,,,,
42436746,42427787,0,"[226040992, 5669669]",True,"['West 29th Street', 'East 29th Street']",residential,324.716,"LINESTRING (-73.98524569999999 40.7446233, -73.986846 40.745301, -73.9876324 40.745632, -73.98861220000001 40.7460455)",25 mph,,,,,,,,,
42436935,42429373,0,25162679,True,East 13th Street,residential,179.519,"LINESTRING (-73.9922554 40.7345291, -73.994118 40.735313)",25 mph,1,,,,,,,,
42436939,42440721,0,"[5672176, 547089938]",True,4th Avenue,secondary,102.116,"LINESTRING (-73.989868 40.733528, -73.9898302 40.7336893, -73.9898164 40.7338288, -73.9898386 40.7340968, -73.9898764 40.7343122, -73.9899056 40.7344391)",25 mph,"['3', '2']",,,,,,,,
42436939,42436935,0,25162679,True,East 13th Street,residential,229.904,"LINESTRING (-73.989868 40.733528, -73.990945 40.733978, -73.9922554 40.7345291)",25 mph,1,,,,,,,,
42436944,42446552,0,584971531,False,Avenue A,secondary,81.223,"LINESTRING (-73.980858 40.729725, -73.981325 40.729086)",20 mph,2,,,,,,,,
42436944,3834459527,0,"[479642034, 25162679]",True,East 13th Street,residential,223.825,"LINESTRING (-73.980858 40.729725, -73.9830644 40.7306534, -73.98318020000001 40.7307023)","['20 mph', '25 mph']",1,,,,,,,,
42436944,42439006,0,584971531,False,Avenue A,secondary,89.00500000000001,"LINESTRING (-73.980858 40.729725, -73.9804188 40.7303362, -73.9803529 40.730428)",20 mph,2,,,,,,,,
42436947,42436944,0,479642034,True,East 13th Street,residential,223.905,"LINESTRING (-73.97853600000001 40.728746, -73.980858 40.729725)",20 mph,1,,,,,,,,
42436947,42446562,0,813956617,False,Avenue B,secondary,81.117,"LINESTRING (-73.97853600000001 40.728746, -73.978998 40.728106)",20 mph,2,,,,,,,,
42436947,42436949,0,5670510,False,East 13th Street,residential,113.782,"LINESTRING (-73.97853600000001 40.728746, -73.97805529999999 40.7285458, -73.97793919999999 40.7284975, -73.9773526 40.7282532)",20 mph,,,,,,,,,
42436947,42439001,0,813956617,False,Avenue B,secondary,88.18400000000001,"LINESTRING (-73.97853600000001 40.728746, -73.9780986 40.7293468, -73.9780305 40.7294404)",20 mph,2,,,,,,,,
42437363,42428287,0,167922076,False,West 42nd Street,primary,51.247,"LINESTRING (-73.9869489 40.7560361, -73.9868745 40.7560046, -73.98681670000001 40.7559802, -73.98650720000001 40.7558493, -73.9864171 40.7558122)",25 mph,,,,,,,,,
42437773,42427335,0,"[5670709, 263088941, 5670574]",False,"['Samuel Dickstein Plaza', 'Montgomery Street']",secondary,251.31400000000002,"LINESTRING (-73.98505919999999 40.7130902, -73.98506980000001 40.7131539, -73.9850886 40.7133173, -73.9850939 40.7134745, -73.98508889999999 40.7136058, -73.98506810000001 40.7137205, -73.98506519999999 40.7137365, -73.9850507 40.7137994, -73.9850275 40.7138766, -73.9850235 40.7138901, -73.9849897 40.7139929, -73.9849439 40.7141154, -73.9848935 40.7142176, -73.9848429 40.7143053, -73.9847676 40.7144198, -73.98470450000001 40.7145165, -73.98464540000001 40.714607, -73.9843187 40.7151102, -73.9842518 40.7152176)",25 mph,,,,,,,,,
42437881,42429373,0,"[34080508, 68668541, 195743341]",True,5th Avenue,secondary,791.2700000000001,"LINESTRING (-73.9895958 40.7415497, -73.9896608 40.741458, -73.99007 40.74088, -73.99046850000001 40.7403351, -73.99053139999999 40.7402492, -73.9905571 40.7402134, -73.9908985 40.7397378, -73.990945 40.739673, -73.9909809 40.7396242, -73.9913746 40.7390885, -73.9917533 40.7385658, -73.9917962 40.7385065, -73.99183650000001 40.738451, -73.992225 40.737917, -73.992654 40.73733, -73.99312 40.736691, -73.9936067 40.7360129, -73.994118 40.735313)",25 mph,,,,,,,,,
42439070,42446528,0,5671429,True,East 12th Street,residential,439.186,"LINESTRING (-73.994585 40.734672, -73.99279199999999 40.733922, -73.991114 40.733214, -73.9904648 40.7329392, -73.990027 40.732756)",25 mph,,,,,,,,,
42439070,42433354,0,"[439933929, 195743341]",True,5th Avenue,"['residential', 'secondary']",357.775,"LINESTRING (-73.994585 40.734672, -73.99476799999999 40.7344209, -73.9948217 40.7343472, -73.99505000000001 40.734034, -73.99548900000001 40.733437, -73.99590379999999 40.7328593, -73.996351 40.732255, -73.996639 40.731856)",25 mph,,,,,,,,,
42439073,42430249,0,646635889,True,West 12th Street,residential,272.176,"LINESTRING (-74.0006278 40.7372222, -73.997805 40.736032)",25 mph,,,,,,,,,
42439073,42430828,0,196117091,True,7th Avenue,secondary,83.103,"LINESTRING (-74.0006278 40.7372222, -74.0009218 40.736808, -74.00109500000001 40.736564)",25 mph,,,,,,,,,
42439464,42442422,0,808055023,True,Amsterdam Avenue,primary,317.513,"LINESTRING (-73.98441649999999 40.7747952, -73.9843556 40.7748799, -73.98400030000001 40.7753742, -73.9839656 40.7754225, -73.98393419999999 40.7754662, -73.983918 40.7754887, -73.98354860000001 40.7760027, -73.98351390000001 40.776051, -73.9834692 40.7761132, -73.98311200000001 40.7766094, -73.98307370000001 40.7766633, -73.9830256 40.77673, -73.9826491 40.7772541, -73.9826138 40.7773032)",25 mph,3,,,,,,,,
42439842,42430277,0,630828584,True,West 26th Street,residential,274.27,"LINESTRING (-73.9942616 40.7460045, -73.99141520000001 40.7448072)",25 mph,1,,,,,,,,
42439842,42429375,0,"[196117091, 496993765, 813970416, 5670836, 420598327, 420598330]",True,7th Avenue,secondary,1033.454,"LINESTRING (-73.9942616 40.7460045, -73.994709 40.745383, -73.9951595 40.744765, -73.99540159999999 40.744433, -73.995645 40.744099, -73.996129 40.743431, -73.99657999999999 40.742811, -73.997007 40.742228, -73.997434 40.741642, -73.997862 40.741056, -73.998287 40.74047, -73.998713 40.739881, -73.999185 40.739243, -73.999684 40.738552, -73.9999354 40.7381978, -74.0001742 40.7378614)",25 mph,,,,,,,,,
42439990,42437363,0,"[569345542, 397795463, 397795464, 569345544, 682360554]",True,7th Avenue,secondary,324.129,"LINESTRING (-73.9850867 40.7585867, -73.9851335 40.7585214, -73.9852442 40.7583669, -73.9854814 40.758036, -73.9855335 40.7579634, -73.9855891 40.7578912, -73.9859543 40.7574162, -73.9860128 40.7573406, -73.9860561 40.7572793, -73.9864036 40.7567873, -73.986458 40.75671, -73.98650929999999 40.7566417, -73.9868771 40.7561346, -73.9869489 40.7560361)",25 mph,4,,,,,,,,
42439994,42428303,0,452322757,True,West 47th Street,residential,49.112,"LINESTRING (-73.9846299 40.7592102, -73.98473920000001 40.7592575, -73.9849729 40.7593539, -73.9851384 40.7594263)",25 mph,1,,,,,,,,
42440408,42433551,0,39662323,False,Clinton Street,residential,189.68399999999997,"LINESTRING (-73.9867058 40.7159628, -73.9867914 40.7158578, -73.986835 40.715777, -73.986929 40.715603, -73.986996 40.715456, -73.98707400000001 40.715241, -73.9870854 40.7151883, -73.9871034 40.7151054, -73.98712399999999 40.715023, -73.98714769999999 40.7148373, -73.9871555 40.714456, -73.9871605 40.7144073, -73.98716949999999 40.714317)",25 mph,,,,,,,,,
42440408,3630249566,0,347311224,True,Clinton Street,residential,201.976,"LINESTRING (-73.9867058 40.7159628, -73.98662520000001 40.7160573, -73.9864042 40.7164771, -73.986194 40.7168982, -73.9858943 40.717469, -73.9858682 40.7175217, -73.9858421 40.7175745, -73.9858048 40.7176436)",25 mph,,,,,,,,,
42440566,6263094837,0,"[46694752, 169381958]",True,East 55th Street,residential,227.30700000000002,"LINESTRING (-73.96162200000001 40.756059, -73.961755 40.7561151, -73.96387110000001 40.7570079, -73.9639792 40.7570543)",,,,,,,,,,
42440966,42430739,0,499172074,True,West 55th Street,residential,273.65700000000004,"LINESTRING (-73.98949949999999 40.7678249, -73.9896342 40.7678791, -73.99234439999999 40.7690142)",,1,,,,,,,,
