u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
73827715,1435233943,0,"[9546680, 81114022, 81114023]",,cycleway,,False,146.288,"LINESTRING (4.9406304 52.3181454, 4.9410455 52.3182833, 4.9418654 52.3185573, 4.94199 52.3185988, 4.9425199 52.3187753)",,,,,,,,,,,
75619296,75619297,0,9658335,Fritz Dietrich Kahlenbergstraat,residential,,False,39.1,"LINESTRING (5.0076071 52.3476518, 5.0079735 52.347923)",yes,,,,,,,,,,
75619297,75619296,0,9658335,Fritz Dietrich Kahlenbergstraat,residential,,False,39.1,"LINESTRING (5.0079735 52.347923, 5.0076071 52.3476518)",yes,,,,,,,,,,
75660446,75660522,0,9658559,Peter Martensstraat,residential,,False,17.22,"LINESTRING (5.0097732 52.3464999, 5.0099406 52.3466162)",yes,,,,,,,,,,
75660522,75660446,0,9658559,Peter Martensstraat,residential,,False,17.22,"LINESTRING (5.0099406 52.3466162, 5.0097732 52.3464999)",yes,,,,,,,,,,
139857711,46316021,0,14376096,Gabriël Metsustraat,residential,30,True,142.464,"LINESTRING (4.8813615 52.3560077, 4.8822088 52.355848, 4.8826278 52.3557671, 4.883167 52.3556612, 4.8833623 52.3556228)",,,,,,,,,,,
139857711,46318257,0,14367108,,cycleway,,False,13.484000000000002,"LINESTRING (4.8813615 52.3560077, 4.8813942 52.3560631, 4.8814062 52.3560852, 4.8814264 52.3561223)",,,,,,,,,,,
300532286,300532287,0,220731092,Spoorslag,footway,,False,111.777,"LINESTRING (4.8747154 52.3383449, 4.8762467 52.3383494, 4.8763018 52.3383496, 4.8763606 52.3383498)",,,,,,,,,,,
300532287,3564346137,0,220731092,Spoorslag,footway,,False,7.943,"LINESTRING (4.8763606 52.3383498, 4.8764759 52.338338)",,,,,,,,,,,
300532287,2508508185,0,27376784,,cycleway,,False,15.213,"LINESTRING (4.8763606 52.3383498, 4.8763698 52.3384865)",,5.00,,,,,,,,,
300532287,300532286,0,220731092,Spoorslag,footway,,False,111.777,"LINESTRING (4.8763606 52.3383498, 4.8763018 52.3383496, 4.8762467 52.3383494, 4.8747154 52.3383449)",,,,,,,,,,,
300532287,432575589,0,7374050,,cycleway,,False,172.198,"LINESTRING (4.8763606 52.3383498, 4.8763882 52.3380891, 4.8764081 52.3379016, 4.8764565 52.3376476, 4.8765972 52.3373063, 4.8767369 52.3370641, 4.8768397 52.3368881, 4.8768629 52.3368421)",,5.00,,,,,,,,,
