u,v,key,osmid,oneway,name,highway,length,geometry,tunnel,bridge,service
142382885,4898439111,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,322.738,"LINESTRING (101.5504647 3.0739786, 101.5511468 3.0741957, 101.5525336 3.0746456, 101.5530082 3.0748063, 101.5532245 3.0748885)",,,
249398997,4897863480,0,498339308,False,,cycleway,9.315999999999999,"LINESTRING (101.5184749 3.0642259, 101.5185057 3.0642617, 101.5185122 3.0642977)",,,
276683133,4897863507,0,498339311,True,,cycleway,45.075,"LINESTRING (101.5022697 3.0618034, 101.5021596 3.0617554, 101.5020271 3.0617123, 101.5018809 3.0617035)",,,
299422035,4897545159,0,"[460662720, 460662721, 162530603]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,1462.077,"LINESTRING (101.5536159 3.0741747, 101.5533739 3.074153, 101.5531146 3.074107, 101.5526272 3.0740317, 101.552309 3.0740225, 101.5520524 3.0740212, 101.5518675 3.0739939, 101.5516826 3.073956, 101.5514533 3.0738783, 101.5511086 3.0737551, 101.5507894 3.0736346, 101.5506151 3.0735382, 101.5503817 3.0733855, 101.550253 3.0733239, 101.5501403 3.0732864, 101.549974 3.0732489, 101.5496307 3.0731846, 101.5494644 3.0731498, 101.5492981 3.0731177, 101.5490658 3.0730795, 101.5487 3.07304, 101.5485149 3.0730052, 101.5481957 3.0729275, 101.5474366 3.0726329, 101.5469646 3.0724401, 101.5462296 3.0721079, 101.5455645 3.0717865, 101.5449985 3.0715723, 101.5423404 3.0703858, 101.5415036 3.069992, 101.5412939 3.0698819)",yes,,
299422072,299422035,0,27277797,True,,cycleway,32.482,"LINESTRING (101.553741 3.0744335, 101.5537384 3.0743861, 101.5537107 3.0743259, 101.5536159 3.0741747)",,,
664908083,5359377008,0,555494606,True,,cycleway,45.291,"LINESTRING (101.5803322 3.0834779, 101.5807289 3.0833831)",,,
1694461442,4749608588,0,482083998,True,,cycleway,28.445,"LINESTRING (101.506022 2.9864385, 101.5062536 2.9865478)",,,
1749436758,4025322540,0,399859266,True,,cycleway,216.771,"LINESTRING (101.5276752 3.0046228, 101.5277976 3.0046921, 101.527899 3.004768, 101.5279548 3.004822, 101.5280072 3.0049131, 101.5282099 3.0052978, 101.5282775 3.005394, 101.5284346 3.0055864, 101.5288807 3.0061254)",,,
2006090460,4562907271,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,696.458,"LINESTRING (101.571972 3.0809259, 101.5718737 3.0808599, 101.5717348 3.0807938, 101.5716114 3.080767, 101.5715041 3.0807724, 101.571245 3.0808225, 101.5711198 3.0808297, 101.5710419 3.0808067, 101.5709747 3.0807543, 101.5706475 3.0804633, 101.5702248 3.0801088, 101.5699676 3.0798618, 101.5698074 3.0797313, 101.5697294 3.0796731, 101.5696188 3.0795967, 101.5692838 3.0793798, 101.568951 3.0791451, 101.5689055 3.0791155, 101.5686332 3.078959, 101.5685766 3.0789354, 101.5677725 3.0786359, 101.566998 3.0783063, 101.5665149 3.0782351)",,,
2110016829,4897863478,0,498339307,True,,cycleway,14.741,"LINESTRING (101.5185125 3.0643558, 101.5183847 3.0643199)",,,
2688375579,7185199782,0,"[769751587, 405978140]",False,,cycleway,56.003,"LINESTRING (101.5566429 3.0620116, 101.5566014 3.0620136, 101.5565503 3.0624324, 101.55651 3.0624312)",,,
3328158791,4025322390,0,399859259,True,,cycleway,63.400999999999996,"LINESTRING (101.5370103 3.014709, 101.5368915 3.0146262, 101.536854 3.0145351, 101.5367896 3.0143584, 101.5367252 3.0142352)",,,
4025322300,4025322355,0,399859239,True,,cycleway,78.588,"LINESTRING (101.538266 3.0172089, 101.5382932 3.0173165, 101.5383868 3.0174951, 101.5385465 3.0177608, 101.5385864 3.0178351)",,,
4025322317,1555735677,0,399859242,True,,cycleway,42.159,"LINESTRING (101.5353191 3.0134835, 101.5355086 3.0137152, 101.5355703 3.0137662)",,,
4025322317,4025322348,0,399859243,True,,cycleway,549.6890000000002,"LINESTRING (101.5353191 3.0134835, 101.5354 3.0136408, 101.5354724 3.013813, 101.5355086 3.0140107, 101.5355192 3.0141638, 101.5355001 3.0143041, 101.5354681 3.0143913, 101.5352787 3.0147123, 101.5350764 3.0150567, 101.5348614 3.0154351, 101.5347763 3.0156052, 101.5347614 3.0156392, 101.5347571 3.0156838, 101.5347741 3.0157221, 101.5349019 3.01589, 101.5349381 3.0159559, 101.5349657 3.0160792, 101.5349785 3.0162769, 101.534987 3.0163769, 101.5350126 3.016481, 101.5350573 3.0165831, 101.5351658 3.0168148, 101.5352744 3.0169891, 101.5353149 3.0170657, 101.5354 3.0172187, 101.5354873 3.0173016, 101.5355767 3.0173569, 101.5356917 3.0173888, 101.5357939 3.0174101, 101.5359514 3.0174292, 101.5361622 3.0174377)",,,
4025322348,4025322355,0,399859243,True,,cycleway,285.236,"LINESTRING (101.5361622 3.0174377, 101.5365901 3.0174313, 101.5371308 3.0174207, 101.537746 3.0174122, 101.5380228 3.0174249, 101.5382059 3.0174951, 101.5384379 3.0176822, 101.5385864 3.0178351)",,,
4025322348,281136604,0,"[399859244, 399859245, 399859246]",True,,cycleway,469.982,"LINESTRING (101.5361622 3.0174377, 101.5365113 3.0174079, 101.5367348 3.0174058, 101.5368008 3.0173846, 101.5368838 3.017325, 101.5369307 3.0172187, 101.5369371 3.0171698, 101.5369115 3.0171146, 101.5366667 3.0167468, 101.5361962 3.0159985, 101.5361707 3.0159389, 101.5361494 3.0158624, 101.536143 3.0157965, 101.5361451 3.0157306, 101.5361664 3.0156562, 101.5361898 3.0155903, 101.5362345 3.0155201, 101.5363005 3.0154478, 101.5363623 3.0153989, 101.5364325 3.0153649, 101.5365219 3.0153309, 101.5366028 3.0153245, 101.5366837 3.015333, 101.5367604 3.0153522, 101.5368328 3.0153819, 101.5369073 3.0154287, 101.536969 3.0154882, 101.5370435 3.0155903, 101.5370989 3.0157008, 101.5371798 3.0160218)",yes,,
4025322355,4123778643,0,"[410573250, 410573251, 410573252, 410573253, 399859239]",True,,cycleway,1160.392,"LINESTRING (101.5385864 3.0178351, 101.5389254 3.0184666, 101.5391426 3.0189195, 101.5394406 3.0195083, 101.5396876 3.0200292, 101.5400537 3.0207159, 101.5404327 3.0214217, 101.5407158 3.0219234, 101.5408758 3.0222485, 101.5410722 3.0225737, 101.5415305 3.0231222, 101.5416903 3.023287, 101.5419773 3.0235897, 101.542157 3.0237638, 101.5423555 3.0239433, 101.5429429 3.0244388, 101.5432004 3.0246049, 101.5433211 3.024712, 101.5434766 3.0249531, 101.5435517 3.0250602, 101.5437234 3.0251727, 101.5446139 3.0255905, 101.5449492 3.0257378)",yes,yes,
4025322390,4025322398,0,399859259,True,,cycleway,85.846,"LINESTRING (101.5367252 3.0142352, 101.5366287 3.0141307, 101.5363792 3.0138602, 101.5363041 3.0137289, 101.5362666 3.0136245)",,,
4025322398,2165320803,0,399859257,True,,cycleway,186.32600000000002,"LINESTRING (101.5362666 3.0136245, 101.536199 3.0134591, 101.5361382 3.0133461, 101.5360605 3.0132381, 101.5358645 3.0130407, 101.5355062 3.0126796, 101.5354623 3.012607, 101.5354387 3.0125243, 101.5354251 3.0124299, 101.5354251 3.0123573, 101.5354473 3.0122489)",,,
