u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,bridge,access,ref,tunnel
6652742130,6652742131,0,708001342,False,,service,20,59.807,"LINESTRING (69.29693 41.371751, 69.29622449999999 41.3718458)",,,,,,
6652742130,6652742129,0,708001342,False,,service,20,90.738,"LINESTRING (69.29693 41.371751, 69.2979591 41.3714874)",,,,,,
6652742131,6652742125,0,708001342,False,,service,20,34.386,"LINESTRING (69.29622449999999 41.3718458, 69.2958209 41.3717834)",,,,,,
6652742131,6652742130,0,708001342,False,,service,20,59.807,"LINESTRING (69.29622449999999 41.3718458, 69.29693 41.371751)",,,,,,
6652742132,6652742125,0,708001342,False,,service,20,40.487,"LINESTRING (69.2953358 41.371776, 69.2958209 41.3717834)",,,,,,
6652742132,6652742124,0,708001342,False,,service,20,9.916,"LINESTRING (69.2953358 41.371776, 69.29521699999999 41.3717741)",,,,,,
6652742132,6652742133,0,708001343,False,,residential,20,63.528,"LINESTRING (69.2953358 41.371776, 69.2955341 41.3723276)",,,,,,
6652742133,6652742134,0,708001343,False,,residential,20,89.379,"LINESTRING (69.2955341 41.3723276, 69.2965748 41.3721374)",,,,,,
6652742133,6652742132,0,708001343,False,,residential,20,63.528,"LINESTRING (69.2955341 41.3723276, 69.2953358 41.371776)",,,,,,
6652742133,6652742137,0,708001343,False,,residential,20,22.912,"LINESTRING (69.2955341 41.3723276, 69.2956092 41.3725258)",,,,,,
6652742134,6652742135,0,708001343,False,,residential,20,23.989,"LINESTRING (69.2965748 41.3721374, 69.2966445 41.3723467)",,,,,,
6652742134,6652742133,0,708001343,False,,residential,20,89.379,"LINESTRING (69.2965748 41.3721374, 69.2955341 41.3723276)",,,,,,
6652742135,6652742136,0,708001343,False,,residential,20,81.228,"LINESTRING (69.2966445 41.3723467, 69.29569499999999 41.3725077)",,,,,,
6652742135,6652742134,0,708001343,False,,residential,20,23.989,"LINESTRING (69.2966445 41.3723467, 69.2965748 41.3721374)",,,,,,
6652742136,6652742137,0,708001343,False,,residential,20,7.437,"LINESTRING (69.29569499999999 41.3725077, 69.2956092 41.3725258)",,,,,,
6652742136,6652742135,0,708001343,False,,residential,20,81.228,"LINESTRING (69.29569499999999 41.3725077, 69.2966445 41.3723467)",,,,,,
6652742137,6652742133,0,708001343,False,,residential,20,22.912,"LINESTRING (69.2956092 41.3725258, 69.2955341 41.3723276)",,,,,,
6652742137,6652742136,0,708001343,False,,residential,20,7.437,"LINESTRING (69.2956092 41.3725258, 69.29569499999999 41.3725077)",,,,,,
6652742138,6652742139,0,708001344,False,,residential,20,25.096,"LINESTRING (69.29703069999999 41.372652, 69.297004 41.3724272)",,,,,,
6652742139,6652742140,0,708001344,False,,residential,20,66.841,"LINESTRING (69.297004 41.3724272, 69.29777110000001 41.3722541)",,,,,,
6652742139,6652742138,0,708001344,False,,residential,20,25.096,"LINESTRING (69.297004 41.3724272, 69.29703069999999 41.372652)",,,,,,
6652742139,6652742142,0,708001344,False,,residential,20,19.378,"LINESTRING (69.297004 41.3724272, 69.29697710000001 41.3722541)",,,,,,
6652742140,6652742141,0,708001344,False,,residential,20,18.35,"LINESTRING (69.29777110000001 41.3722541, 69.2977228 41.3720931)",,,,,,
6652742140,6652742139,0,708001344,False,,residential,20,66.841,"LINESTRING (69.29777110000001 41.3722541, 69.297004 41.3724272)",,,,,,
6652742141,6652742142,0,708001344,False,,residential,20,64.749,"LINESTRING (69.2977228 41.3720931, 69.29697710000001 41.3722541)",,,,,,
6652742141,6652742140,0,708001344,False,,residential,20,18.35,"LINESTRING (69.2977228 41.3720931, 69.29777110000001 41.3722541)",,,,,,
6652742142,6652742139,0,708001344,False,,residential,20,19.378,"LINESTRING (69.29697710000001 41.3722541, 69.297004 41.3724272)",,,,,,
6652742142,6652742141,0,708001344,False,,residential,20,64.749,"LINESTRING (69.29697710000001 41.3722541, 69.2977228 41.3720931)",,,,,,
6652742827,6652753118,0,708002406,False,,living_street,20,62.625,"LINESTRING (69.297854 41.379116, 69.2979891 41.37967)",,,,,,
6652742828,6652742829,0,708002406,False,,living_street,20,34.438,"LINESTRING (69.2983389 41.3811048, 69.2979741 41.3812497)",,,,,,
6652742828,6652742831,0,708002406,False,,living_street,20,28.871,"LINESTRING (69.2983389 41.3811048, 69.29827659999999 41.3808494)",,,,,,
6652742828,6652742833,0,708002408,False,,service,20,68.877,"LINESTRING (69.2983389 41.3811048, 69.2991474 41.3809796)",,,,,,
6652742829,6652742830,0,708002406,False,,living_street,20,32.997,"LINESTRING (69.2979741 41.3812497, 69.2980689 41.3815378)",,,,,,
6652742829,6652742828,0,708002406,False,,living_street,20,34.438,"LINESTRING (69.2979741 41.3812497, 69.2983389 41.3811048)",,,,,,
6652742830,6652742829,0,708002406,False,,living_street,20,32.997,"LINESTRING (69.2980689 41.3815378, 69.2979741 41.3812497)",,,,,,
6652742831,6652742828,0,708002406,False,,living_street,20,28.871,"LINESTRING (69.29827659999999 41.3808494, 69.2983389 41.3811048)",,,,,,
6652742831,6652742834,0,708002406,False,,living_street,20,13.473,"LINESTRING (69.29827659999999 41.3808494, 69.2982476 41.3807302)",,,,,,
6652742831,5439380320,0,708002407,False,,service,20,63.688,"LINESTRING (69.29827659999999 41.3808494, 69.29754629999999 41.3810161)",,,,,,
6652742832,5439380320,0,708002407,False,,service,20,9.612,"LINESTRING (69.2974361 41.3810413, 69.29754629999999 41.3810161)",,,,,,
6652742833,6652742828,0,708002408,False,,service,20,68.877,"LINESTRING (69.2991474 41.3809796, 69.2983389 41.3811048)",,,,,,
6652742834,6652742831,0,708002406,False,,living_street,20,13.473,"LINESTRING (69.2982476 41.3807302, 69.29827659999999 41.3808494)",,,,,,
6652742834,6652742836,0,708002406,False,,living_street,20,5.087,"LINESTRING (69.2982476 41.3807302, 69.2982366 41.3806852)",,,,,,
6652742835,6652742842,0,842987466,False,,living_street,20,93.585,"LINESTRING (69.2989493 41.3790352, 69.29921760000001 41.3798524)",,,,,,
6652742836,6652742834,0,708002406,False,,living_street,20,5.087,"LINESTRING (69.2982366 41.3806852, 69.2982476 41.3807302)",,,,,,
6652742836,6652742839,0,708002406,False,,living_street,20,34.233,"LINESTRING (69.2982366 41.3806852, 69.2981662 41.3803819)",,,,,,
6652742836,6652742837,0,708002409,False,,living_street,20,101.342,"LINESTRING (69.2982366 41.3806852, 69.2994264 41.3805018)",,,,,,
6652742837,6652742836,0,708002409,False,,living_street,20,101.342,"LINESTRING (69.2994264 41.3805018, 69.2982366 41.3806852)",,,,,,
6652742837,6652742847,0,708002412,False,,living_street,20,34.447,"LINESTRING (69.2994264 41.3805018, 69.2995828 41.3807885)",,,,,,
6652742837,6652742849,0,708002415,False,,living_street,20,114.893,"LINESTRING (69.2994264 41.3805018, 69.3007635 41.3802547)",,,,,,
6652742837,6652742840,0,842987466,False,,living_street,20,32.048,"LINESTRING (69.2994264 41.3805018, 69.29933870000001 41.3802212)",,,,,,
6652742839,6652742836,0,708002406,False,,living_street,20,34.233,"LINESTRING (69.2981662 41.3803819, 69.2982366 41.3806852)",,,,,,
6652742839,6652742841,0,708002406,False,,living_street,20,37.742,"LINESTRING (69.2981662 41.3803819, 69.2980814 41.3800485)",,,,,,
6652742839,6652742840,0,708002410,False,,service,20,99.445,"LINESTRING (69.2981662 41.3803819, 69.29933870000001 41.3802212)",,,,,,
6652742840,6652742839,0,708002410,False,,service,20,99.445,"LINESTRING (69.29933870000001 41.3802212, 69.2981662 41.3803819)",,,,,,
6652742840,7202419918,0,842987466,False,,living_street,20,14.2,"LINESTRING (69.29933870000001 41.3802212, 69.29929799999999 41.3800972)",,,,,,
6652742840,6652742837,0,842987466,False,,living_street,20,32.048,"LINESTRING (69.29933870000001 41.3802212, 69.2994264 41.3805018)",,,,,,
6652742841,6652742839,0,708002406,False,,living_street,20,37.742,"LINESTRING (69.2980814 41.3800485, 69.2981662 41.3803819)",,,,,,
6652742841,6652753118,0,708002406,False,,living_street,20,42.786,"LINESTRING (69.2980814 41.3800485, 69.2979891 41.37967)",,,,,,
6652742841,6652742842,0,708002411,False,,service,20,97.274,"LINESTRING (69.2980814 41.3800485, 69.29921760000001 41.3798524)",,,,,,
6652742842,6652742841,0,708002411,False,,service,20,97.274,"LINESTRING (69.29921760000001 41.3798524, 69.2980814 41.3800485)",,,,,,
6652742842,6652742835,0,842987466,False,,living_street,20,93.585,"LINESTRING (69.29921760000001 41.3798524, 69.2989493 41.3790352)",,,,,,
6652742842,7202419918,0,842987466,False,,living_street,20,28.035,"LINESTRING (69.29921760000001 41.3798524, 69.29929799999999 41.3800972)",,,,,,
6652742843,6652742845,0,708002412,False,,living_street,20,8.292,"LINESTRING (69.2997003 41.3809796, 69.299673 41.3810513)",,,,,,
6652742843,6652742847,0,708002412,False,,living_street,20,23.402,"LINESTRING (69.2997003 41.3809796, 69.2995828 41.3807885)",,,,,,
6652742844,6652742845,0,708002412,False,,living_street,20,55.77,"LINESTRING (69.2994891 41.3815335, 69.299673 41.3810513)",,,,,,
6652742845,6652742844,0,708002412,False,,living_street,20,55.77,"LINESTRING (69.299673 41.3810513, 69.2994891 41.3815335)",,,,,,
6652742845,6652742843,0,708002412,False,,living_street,20,8.292,"LINESTRING (69.299673 41.3810513, 69.2997003 41.3809796)",,,,,,
6652742845,6652742846,0,708002413,False,,service,20,97.7,"LINESTRING (69.299673 41.3810513, 69.300836 41.3809488)",,,,,,
6652742846,6652742845,0,708002413,False,,service,20,97.7,"LINESTRING (69.300836 41.3809488, 69.299673 41.3810513)",,,,,,
6652742847,6652742843,0,708002412,False,,living_street,20,23.402,"LINESTRING (69.2995828 41.3807885, 69.2997003 41.3809796)",,,,,,
6652742847,6652742837,0,708002412,False,,living_street,20,34.447,"LINESTRING (69.2995828 41.3807885, 69.2994264 41.3805018)",,,,,,
6652742847,6652742848,0,708002414,False,,service,20,103.401,"LINESTRING (69.2995828 41.3807885, 69.30080169999999 41.3806204)",,,,,,
6652742848,6652742847,0,708002414,False,,service,20,103.401,"LINESTRING (69.30080169999999 41.3806204, 69.2995828 41.3807885)",,,,,,
6652742849,6652742837,0,708002415,False,,living_street,20,114.893,"LINESTRING (69.3007635 41.3802547, 69.2994264 41.3805018)",,,,,,
6652742851,6652742852,0,708002416,False,,service,20,115.051,"LINESTRING (69.3000558 41.37896, 69.3001854 41.3799901)",,,,,,
6652742852,6652742851,0,708002416,False,,service,20,115.051,"LINESTRING (69.3001854 41.3799901, 69.3000558 41.37896)",,,,,,
6652753117,6652753118,0,708002523,False,,service,20,77.795,"LINESTRING (69.2970787 41.3798211, 69.2979891 41.37967)",,,,,,
6652753118,6652742841,0,708002406,False,,living_street,20,42.786,"LINESTRING (69.2979891 41.37967, 69.2980814 41.3800485)",,,,,,
6652753118,6652742827,0,708002406,False,,living_street,20,62.625,"LINESTRING (69.2979891 41.37967, 69.297854 41.379116)",,,,,,
6652753118,6652753117,0,708002523,False,,service,20,77.795,"LINESTRING (69.2979891 41.37967, 69.2970787 41.3798211)",,,,,,
6652767198,6652767199,0,708004565,False,,residential,20,35.499,"LINESTRING (69.3399392 41.288858, 69.3396226 41.2886451)",2,,,,,
6652767199,6652767198,0,708004565,False,,residential,20,35.499,"LINESTRING (69.3396226 41.2886451, 69.3399392 41.288858)",2,,,,,
6652767200,6652767201,0,708004566,False,,residential,20,35.634,"LINESTRING (69.3388003 41.2883043, 69.3392097 41.2882145)",2,,,,,
6652767201,6652767202,0,708004566,False,,residential,20,33.709,"LINESTRING (69.3392097 41.2882145, 69.3394377 41.2884646)",2,,,,,
6652767201,6652767200,0,708004566,False,,residential,20,35.634,"LINESTRING (69.3392097 41.2882145, 69.3388003 41.2883043)",2,,,,,
6652767201,6652767203,0,708004567,False,,residential,20,23.486,"LINESTRING (69.3392097 41.2882145, 69.33930239999999 41.2880151)",2,,,,,
6652767202,6652767201,0,708004566,False,,residential,20,33.709,"LINESTRING (69.3394377 41.2884646, 69.3392097 41.2882145)",2,,,,,
6652767203,4389368613,0,708004567,False,,residential,20,82.418,"LINESTRING (69.33930239999999 41.2880151, 69.34022090000001 41.2882854)",2,,,,,
6652767203,6652767201,0,708004567,False,,residential,20,23.486,"LINESTRING (69.33930239999999 41.2880151, 69.3392097 41.2882145)",2,,,,,
6652767203,6652767205,0,708004569,False,,residential,20,19.78,"LINESTRING (69.33930239999999 41.2880151, 69.33915450000001 41.2878762)",2,,,,,
6652767204,6652767205,0,708004568,False,,residential,20,42.566,"LINESTRING (69.3386855 41.2880257, 69.33915450000001 41.2878762)",2,,,,,
6652767205,6652767206,0,708004568,False,,residential,20,37.761,"LINESTRING (69.33915450000001 41.2878762, 69.339364 41.2875753)",2,,,,,
6652767205,6652767204,0,708004568,False,,residential,20,42.566,"LINESTRING (69.33915450000001 41.2878762, 69.3386855 41.2880257)",2,,,,,
6652767205,6652767203,0,708004569,False,,residential,20,19.78,"LINESTRING (69.33915450000001 41.2878762, 69.33930239999999 41.2880151)",2,,,,,
6652767206,6652767205,0,708004568,False,,residential,20,37.761,"LINESTRING (69.339364 41.2875753, 69.33915450000001 41.2878762)",2,,,,,
6652779885,7760862077,0,708003966,False,,residential,5,22.515,"LINESTRING (69.30274369999999 41.2815082, 69.3029205 41.2813554)",,,,,,
6652779886,7760819940,0,708003966,False,,residential,5,38.225,"LINESTRING (69.304693 41.2798383, 69.3043997 41.2795745)",,,,,,
6652779886,6652779890,0,708003966,False,,residential,5,37.992,"LINESTRING (69.304693 41.2798383, 69.3043851 41.2800897)",,,,,,
6652779887,6652779888,0,708003966,False,,residential,5,75.521,"LINESTRING (69.3043922 41.2795024, 69.30373 41.2790402)",,,,,,
6652779887,7760819940,0,708003966,False,,residential,5,8.042,"LINESTRING (69.3043922 41.2795024, 69.3043997 41.2795745)",,,,,,
6652779888,6652779892,0,708003966,False,,residential,5,13.513,"LINESTRING (69.30373 41.2790402, 69.3036858 41.2789233)",,,,,,
6652779888,6652779887,0,708003966,False,,residential,5,75.521,"LINESTRING (69.30373 41.2790402, 69.3043922 41.2795024)",,,,,,
6652779889,7760819945,0,708003966,False,,residential,5,63.868,"LINESTRING (69.3044534 41.2783608, 69.3039062 41.2787618)",,,,,,
6652779890,6652779886,0,708003966,False,,residential,5,37.992,"LINESTRING (69.3043851 41.2800897, 69.304693 41.2798383)",,,,,,
6652779890,6652779898,0,708003966,False,,residential,5,54.267,"LINESTRING (69.3043851 41.2800897, 69.30395900000001 41.280458)",,,,,,
6652779892,7760819945,0,708003966,False,,residential,5,25.723,"LINESTRING (69.3036858 41.2789233, 69.3039062 41.2787618)",,,,,,
6652779892,6652779888,0,708003966,False,,residential,5,13.513,"LINESTRING (69.3036858 41.2789233, 69.30373 41.2790402)",,,,,,
6652779894,6652779898,0,708003968,False,,residential,5,87.351,"LINESTRING (69.3032188 41.2799033, 69.30395900000001 41.280458)",,,,,,
6652779896,6652779898,0,708003966,False,,residential,5,35.118,"LINESTRING (69.30368319999999 41.2806963, 69.30395900000001 41.280458)",,,,,,
6652779896,6652779900,0,708003966,False,,residential,5,62.865,"LINESTRING (69.30368319999999 41.2806963, 69.3031895 41.2811229)",,,,,,
6652779896,6652779897,0,708003969,False,,residential,5,87.2,"LINESTRING (69.30368319999999 41.2806963, 69.3029061 41.2801729)",,,,,,
6652779897,6652779896,0,708003969,False,,residential,5,87.2,"LINESTRING (69.3029061 41.2801729, 69.30368319999999 41.2806963)",,,,,,
6652779898,6652779890,0,708003966,False,,residential,5,54.267,"LINESTRING (69.30395900000001 41.280458, 69.3043851 41.2800897)",,,,,,
6652779898,6652779896,0,708003966,False,,residential,5,35.118,"LINESTRING (69.30395900000001 41.280458, 69.30368319999999 41.2806963)",,,,,,
6652779898,6652779894,0,708003968,False,,residential,5,87.351,"LINESTRING (69.30395900000001 41.280458, 69.3032188 41.2799033)",,,,,,
6652779898,7760862081,0,708003970,False,,residential,20,27.773,"LINESTRING (69.30395900000001 41.280458, 69.30420909999999 41.2806225)",,,,,,
6652779899,7760875186,0,708003970,False,,residential,20,21.874,"LINESTRING (69.3045467 41.280858, 69.3043548 41.2807242)",,,,,,
6652779900,6652779896,0,708003966,False,,residential,5,62.865,"LINESTRING (69.3031895 41.2811229, 69.30368319999999 41.2806963)",,,,,,
6652779900,7760862077,0,708003966,False,,residential,5,34.258,"LINESTRING (69.3031895 41.2811229, 69.3029205 41.2813554)",,,,,,
6652779900,6652779901,0,708003971,False,,residential,5,38.675,"LINESTRING (69.3031895 41.2811229, 69.3028489 41.2808874)",,,,,,
6652779901,6652779900,0,708003971,False,,residential,5,38.675,"LINESTRING (69.3028489 41.2808874, 69.3031895 41.2811229)",,,,,,
6652835776,6652835777,0,708020642,False,,service,20,21.275,"LINESTRING (69.34646840000001 41.2975453, 69.34670010000001 41.2976247)",2,,,,,
6652835776,5217642052,0,708020642,False,,service,20,111.245,"LINESTRING (69.34646840000001 41.2975453, 69.34545679999999 41.2968947)",2,,,,,
6652835777,6652835778,0,708020642,False,,service,20,85.877,"LINESTRING (69.34670010000001 41.2976247, 69.3473831 41.2982019)",2,,,,,
6652835777,6652835776,0,708020642,False,,service,20,21.275,"LINESTRING (69.34670010000001 41.2976247, 69.34646840000001 41.2975453)",2,,,,,
6652835778,6652835777,0,708020642,False,,service,20,85.877,"LINESTRING (69.3473831 41.2982019, 69.34670010000001 41.2976247)",2,,,,,
6652835778,6652933086,0,708420261,False,,service,20,32.327,"LINESTRING (69.3473831 41.2982019, 69.34706009999999 41.298362)",2,,,,,
6652835779,6652835780,0,708020643,False,,service,20,95.229,"LINESTRING (69.34582140000001 41.2966461, 69.346627 41.297252)",2,,,,,
6652835780,6652835782,0,708020643,False,,service,20,48.524,"LINESTRING (69.346627 41.297252, 69.34710990000001 41.2970095)",2,,,,,
6652835780,6652835779,0,708020643,False,,service,20,95.229,"LINESTRING (69.346627 41.297252, 69.34582140000001 41.2966461)",2,,,,,
6652835781,6652835782,0,708020643,False,,service,20,34.344,"LINESTRING (69.3474726 41.2968641, 69.34710990000001 41.2970095)",2,,,,,
6652835781,6652933094,0,708020644,False,,service,20,16.373,"LINESTRING (69.3474726 41.2968641, 69.3476498 41.2968012)",2,,,,,
6652835782,6652835781,0,708020643,False,,service,20,34.344,"LINESTRING (69.34710990000001 41.2970095, 69.3474726 41.2968641)",2,,,,,
6652835782,6652835780,0,708020643,False,,service,20,48.524,"LINESTRING (69.34710990000001 41.2970095, 69.346627 41.297252)",2,,,,,
6652835782,6652835783,0,708020645,False,,service,20,134.305,"LINESTRING (69.34710990000001 41.2970095, 69.3481312 41.2979423)",2,,,,,
6652835783,6652933092,0,708020645,False,,service,20,34.878,"LINESTRING (69.3481312 41.2979423, 69.34848359999999 41.2977741)",2,,,,,
6652835783,6652835782,0,708020645,False,,service,20,134.305,"LINESTRING (69.3481312 41.2979423, 69.34710990000001 41.2970095)",2,,,,,
6652857274,6652913387,0,708018622,False,,service,20,38.998,"LINESTRING (69.36402320000001 41.2964076, 69.3642198 41.2960895)",2,,,,,
6652857275,6652857276,0,708018622,False,,service,20,65.877,"LINESTRING (69.3642998 41.2959601, 69.3636936 41.2955812)",2,,,,,
6652857275,6652913387,0,708018622,False,,service,20,15.865,"LINESTRING (69.3642998 41.2959601, 69.3642198 41.2960895)",2,,,,,
6652857275,6652913385,0,708018623,False,,service,20,36.134,"LINESTRING (69.3642998 41.2959601, 69.3645131 41.2956774)",2,,,,,
6652857276,6652857277,0,708018622,False,,service,20,33.314,"LINESTRING (69.3636936 41.2955812, 69.3639216 41.2953354)",2,,,,,
6652857276,6652857275,0,708018622,False,,service,20,65.877,"LINESTRING (69.3636936 41.2955812, 69.3642998 41.2959601)",2,,,,,
6652857277,6652913391,0,708018622,False,,service,20,22.652,"LINESTRING (69.3639216 41.2953354, 69.3641409 41.2954552)",2,,,,,
6652857277,6652857276,0,708018622,False,,service,20,33.314,"LINESTRING (69.3639216 41.2953354, 69.3636936 41.2955812)",2,,,,,
6652857277,6652913389,0,708018626,False,,service,20,35.038,"LINESTRING (69.3639216 41.2953354, 69.3641483 41.2950703)",2,,,,,
6652857278,6652913385,0,708018622,False,,service,20,20.879,"LINESTRING (69.3643052 41.2955732, 69.3645131 41.2956774)",2,,,,,
6652857278,6652913391,0,708018622,False,,service,20,18.989,"LINESTRING (69.3643052 41.2955732, 69.3641409 41.2954552)",2,,,,,
6652857279,6652857280,0,708018622,False,,service,20,16.915,"LINESTRING (69.3653834 41.2961314, 69.3652761 41.2962604)",2,,,,,
6652857279,6652913385,0,708018622,False,,service,20,88.514,"LINESTRING (69.3653834 41.2961314, 69.3645131 41.2956774)",2,,,,,
6652857279,6652913394,0,708018627,False,,service,20,22.968,"LINESTRING (69.3653834 41.2961314, 69.36546389999999 41.2959339)",2,,,,,
6652857280,6652857281,0,708018622,False,,service,20,66.289,"LINESTRING (69.3652761 41.2962604, 69.36595199999999 41.2965727)",2,,,,,
6652857280,6652857279,0,708018622,False,,service,20,16.915,"LINESTRING (69.3652761 41.2962604, 69.3653834 41.2961314)",2,,,,,
6652857280,6652913386,0,708018624,False,,service,20,65.041,"LINESTRING (69.3652761 41.2962604, 69.3648776 41.2967629)",2,,,,,
6652857281,6652857282,0,708018622,False,,service,20,79.12,"LINESTRING (69.36595199999999 41.2965727, 69.36647240000001 41.2959782)",2,,,,,
6652857281,6652857280,0,708018622,False,,service,20,66.289,"LINESTRING (69.36595199999999 41.2965727, 69.3652761 41.2962604)",2,,,,,
